מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2018 - מועד ב',גרף שמראה קפיצה בכמות החמצן; מה גרם לקפיצה?,חידקים שעשו פוטוסינטזה,צמחים שעשו פוטוסינתזה,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',שכיחות ההומוזיגוט הדומיננטי 36%; מה שכיחות בגן הרצסיבי?,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',גרף אחוזי תמותה של יתושים לאחר הדברה; מתחיל מ100% ולאחר כמה חודשים הופך ל20%; שואלים מה גרם לתופעה,סחיפה גנטית,הגעה של יתושים ממקומות שכנים,ברירה טבעית,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה מיחד את פטריית הchytrid? א נבג שוטון;,קורים ללא חלוקה,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',איך הכי נכון לתאר את תהליך הפלסמוגמיה?,. שתפ בין פטריה לאצה,שתפ בין פטריה לפטריה,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',איך נקרא החלל המלא בנוזל בתוך הבלסטולה?,ארכנטרון,בלסטוצל,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',שאלה בסגנון הזה: במוטנט שנפגע בגן ממשפחת A אילו דורים יפגעו?,דור ראשון,דור שני,דור שלישי,דור רביעי,דור ראשון ושני,,,,FALSE,,
שחזורים 2018 - מועד ב',מה מופיע בתמונה?,גבעול בחד פסיגי,גבעול בדו פסיגי,בשורש בחד פסיגי,בשורש בדו פסיגי,,,,,FALSE,https://i.imgur.com/fJ5oczV.png,
שחזורים 2018 - מועד ב',כאשר מדגירים תא עם ψs= -04 במים מזוקקים מה נקבל?,ψs= -0.4 ו- ψp= 0.4,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',משהו בסגנון: יש מוטנט stm שגורם לאי התפתחות של מריסטמה כאשר מוסיפים ציטוקינין ברקע המוטנט ניתן לראות שהצמח הוא בעל מריסטמה מה ההסבר הכי הגיוני?,הציטוקינין מדכא את השפעת ה-stm,הציטוקינין משרה את השפעת ה-stm,הציטוקינין מעודד השפעת STM,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי הדו חיים:,לא לכולם יש רגליים,הנשימה שלהם היא רק בעזרת הריאות,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',ציור של פרוטיסט,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',צילום של גולגולת יונק; עם השאלה של מי הגולגולת:,דו חיים,זוחל,יונק,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי פרוטיסטים?,כולם אאוקריוטים,הכל נכון,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי פטריות?,הן עושות פוטוסינתזה,כולן טפילות,הן הטרוקריוטיות,,,,,,FALSE,,
שחזורים 2018 - מועד ב',יש עכבר העיר שהוא שמן וגדול ועכבר שקילומטר מהעיר קטן ורזה מביאים צאצאים עקרים,איך יודעים שהם ממינים שונים?,לא יכולים להביא צאצאים פורים,גרים במרחק קילומטר אחד מהשני,נראים אחרת,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה צריך לברירה טבעית?,מראה חיצוני שונה,שונות גנטית,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',איך נעשית גדילה משנית,גדילה אנטיקלינלית של העיצה פנימה והשיפה החוצה,גדילה פריקלינלית של עיצה פנימה ושיפה החוצה,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מהי אנדוסימביוזה שיונית?,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',על גבעול של צמח יום קצר שפורח ב8 שעות אור הרכיבו ניצן של צמח יום ארוך 16 שעות אור האירו 8 שעות,מה יקרה,יפרח מיד,כעבור שעה יפרח,כעבור שבוע יפרח,יפרח כשיאירו 16 שעות,,,,FALSE,,
שחזורים 2018 - מועד ב',איזה אנזים גורם לפירוק האנדוספרם,אוקסין,ציטוקינין,ג'יברלין,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה הכי נכון:,לצורבים 3 שכבות נבט,לספוגים 3 שכבות נבט,א- צלומט הם בעלי 3 שכבות נבט והאנדודרם והאקטודרם שלהם צמודות (משהו כזה.,,,,,,FALSE,,
שחזורים 2018 - מועד ב',למי יש לארבת ( או מבנה? של לופופור?,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה מהבאים לא מכיל חומר גנטי,וירוס,חידק,פריון,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי וירואידים,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',בגרף רואים ירידה ברמות הCO2 באטמוספירה מה הסיבה העיקרית שגרמה לכך?,התפתחות הטחביים,התפתחות השרכיים,התפתחות הצמחים הפורחים,,,,,,FALSE,https://i.imgur.com/DWFHs9B.png,
שחזורים 2018 - מועד ב',ראית צמח שבו הספורופיט גדל על הגמטופיט והספורופיט הוא שלב קצר חיים לאיזה משפחה שייך הצמח?,טחבים,שרכניים,חשופי זרע,מכוסי זרע,,,,,FALSE,,
שחזורים 2018 - מועד ב',שאלה על דרווין ואוקסין,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מהי גראונד טישיו,ממנה בין השאר מתפתחת הפרינכמה,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה נוצר מהמריסטמה הקודקודית של הנצר?,נבט,פסיגים; עלים; גבעולים; מריסטמת תפרחת,עלים; גבעולים; מריסטמת תפרחת,,,,,,FALSE,,
שחזורים 2018 - מועד ב',השלימו: האנדוספרם נוצר מ________ ומטענו הוא________,- הפריית גרגר האבקה עם תא הגרעין המרכזי; 3n.,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',צמח צומח מתחת לחלוק אבן; איזה הורמון יעבוד ואיזו תגובה תתרחש? (משהו כזה,- אתילן; תגובה משולשת,-אוקסין; צמיחה לכיוון האור,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',לאיזו קבוצה אין שרירים ואין תאי עצב?,ספוגים,קווצי עור,לכולם יש שרירים ותאי עצב,,,,,,FALSE,,
שחזורים 2018 - מועד ב',שאלה על מה נכון לגבי Pr ו-Pfr,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',היה עץ פילוגנטי ולבחור מבין האפשרויות עץ שזהה לו,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה משותף לכל צמחי היבשה?,בעלי פרחים,בעלי זרעים,בעלי עוברים,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה גורם לכניסת הסוכר לשיפה? (משהו כזה,נשאים בתאי הלוואי,נשאים בתאי הכברה,,,,,,,FALSE,,
שחזורים 2017 - מועד א',כיצד התא החיידקי מגן על הDNA שלו מפני אנזימי רסטריקציה?,"ע""י מודיפיקציות שמוסיפות מתיל","ע""י שימוש בligase DNA","ע""י הוספת היסטונים שיגנו על סליל ה-DNA כפול",. באמצעות יצירת קצוות דביקים של ה-DNA החיידקי שמונעים היקשרות של האנזים,,,1,,FALSE,,
שחזורים 2017 - מועד א',ב-PCR נהוג להשתמש ב-polymerase taq .למה?,בגלל שהוא עמיד בטמפ' גבוהות,בגלל שיש לו את המשלים לpromoter,בגלל שהוא הפולימראז שמבצע את הפעולה הכי מהר הוא הכי מתאים,בגלל שצריך כמות מועטה ממנו למקטעי DNA רבים,,,1,,FALSE,,
שחזורים 2017 - מועד א',איזה מהאנזימים הבאים קשור לייצור cDNA,DNA ligase,אנזימי רסטריקציה,Reverse Transcriptase,RNA polymerase,DNA polymerase,,3,,FALSE,,
שחזורים 2017 - מועד א',"מקטע ה-DNA הבא נחתך באתרי רסטריקציה 1 ו-2 .לאחר החיתוך נוצרים מקטעי הDNA הבאים: C,B,A . כאשר נריץ את המקטעים בג'ל אלקטרופורזיס, איזה דגם ריצה בג'ל נצפה לקבל?",a,b,c,d,e - היה ציור של מקטע נוסף בו המרחק בין הגדילים היה שווה- טעות,,1-,,FALSE,,יש תמונה
שחזורים 2017 - מועד א',מהי מטגנומיקה של מין מסויים?,רצף של אחד או שני מינים מוצגים ממספר מינים,ריצוף של הגנים הכי שמורים בלבד בשושלת,ריצוף של דנא מקבוצה של מינים מאותה אקוסיסטמה,גנומיקה של מערכה שלמה,,,3,,FALSE,,
שחזורים 2017 - מועד א',מהי ביואינפורמטיקה?,טכניקה לתמונות תלת ממד של גנים לנבא מתי מתבטאים.,כלים חישוביים לריצוף גנים,תוכנת חיפוש לרצפים של גנים,תוכנה להזמנת רצפי גנים,,,2,,FALSE,,
שחזורים 2017 - מועד א',מי מהמסיחים הבאים אינו נכון:,מספר הרצפים החוזרניים והטרנספוזונים הקיימים אינו קשור לגודל/מורכבות הפרט,לאאוקריוט חד תאי לדוגמא שמר יש את כל הגנים לביצוע מטבוליזם מרכזי,אורגניזם חד תאי (חיידק או פרוטיסטה צריך לנהל את כל פונקציות החיים המורכבות כמו של אורגניזם רב תאי גדול,"תאי דם לבנים ותאי עצב ממלאים תפקיד שונה ויש כמות גנים/דנ""א זונה לכל אחד מהתאים",מספר הכרומוזומים בתאי יונק יכול להיות קטן ממספר הכרומוזומים בחיידק סטנדרטי,,5,,FALSE,,
שחזורים 2017 - מועד א',"נלקחו דוגמיות מתא לחי של 6 סטודנטים. דנ""א שהופק נחתך באנזימי רסטריקציה ב 0 ,1 ,או 2 אזורים בגן מסוים, המטרה הסבירה ביותר לניסוי זה בהקשר למה שנלמד בכיתה הוא:",למצוא את מיקום הגן בגנום ההומני,לבודד את הכרומוזום עליו נמצא הגן,למצוא אילו אללים יש לסטודנטים,לאסוף אינפורמציה על האוכלוסייה שתשמש להערכת ברירה טבעית,לאסוף אינפורמציה על האוכלוסייה שתשמש למדידת סחף גנטי,,3,,FALSE,,
שחזורים 2017 - מועד א',"איזה מהתנאים הבאים מונע לחלוטין את התרחשות הברירה הטבעית, באוכלוסייה לאורך זמן:",כאשר כל הוריאביליות (הודגש במבחן=השונות) בין הפרטים נובעות אך ורק מגורמים סביבתיים,גודל אוכלוסייה גדול,האוכלוסייה משתנה בקצב איטי יחסית,אוכלוסייה החיה בבית גידול ללא מתחרים,קצב מוטציות גדול במיוחד,,1,,FALSE,,
שחזורים 2017 - מועד א',סמן את המשפט עליו הברירה הטבעית איננה מתבססת,שונות גנטית קיימת באוכלוסייה,הפרטים המותאמים ביותר משאירים יותר צאצאים,"פרטים ששורדים לאורך יותר זמן נוטים להשאיר יותר צאצאים מאותו פרט שמת בגיל
צעיר",אוכלוסיות נוטות לייצר יותר פרטים ממה שהסביבה יכולה לתמוך,הסתגלות לסביבה תורמת להתפתחות הפרטים באוכלוסייה,,5,,FALSE,,
שחזורים 2017 - מועד א',.לפרטים של שני מינים שונים קיימים מבנים דומים שמשמשים אותם לביצוע אותן פונקציות. איזה אינפורמציה הכי תעזור כדי להבחין בין הומולוגיה לאבולוציה מתכנסת? ,. בתי הגידול מורחקים אחד מהשני,מצאו מאובנים של שני המינים באותו אזור,,,,,?,,FALSE,,
שחזורים 2017 - מועד א',"במהלך חייו של אורגניזם, איך יסתגל בצורה טובה לשינויים סביבתיים?",מיקרו אבולוציה,שינוי בקצב המוטציות,ביטוי גנים,,,,3,,FALSE,,
שחזורים 2017 - מועד א',.ציפור מסוג פרוש (finch (אשר נסחפה לגלאפגוס מדרום אמריקה והייתה שונה מבחינה גנטית מאוכלוסיית הוריה החיים בדרום אמריקה עוד לפניי ההסתגלות לגלאפגוס דוגמה ל:,סחף גנטי,ברירה טבעית,אפקט המייסדים,כל התשובות נכונות,. א ו-ג נכונות,,5,,TRUE,,
שחזורים 2017 - מועד א',מה נכון לגבי הברירה הטבעית?,ברירה טבעית היא רנדומלית,"מוטציות מתרחשות בצורה רנדומלית. הברירה הטבעית תפיץ מוטציות שעוזרות
לשרידות.",מוטציות מתרחשות לכיוון טובת המין. הברירה הטבעית תעלים מוטציות רעות ותגדיל את השכיחות של הטובות,,,,2,,FALSE,,
שחזורים 2017 - מועד א',"כשהפטריה שולחת את המיצליום (הודגש כי =תפטיר) לאזור בו נמצא אורגניזם מת, מה החומר הראשון שמגיע?",ספורות,אנזימים פטרייתיים,רמת חנקן גבוהה,,,,2,,FALSE,,
שחזורים 2017 - מועד א',"ישר (תוקן ל-מיד) אחרי שמתרחש השלב הקריוגרמי, התאים בפטריות מקבוצת ה- :bsidiomycetes",. הפלואידים.,הטרוקריוטים.,דיקריוטים,דיפלואידים,רב גרעיניים.,,4,,FALSE,,
שחזורים 2017 - מועד א',איזה מהבאים מספקת הפטריה לשותפים הפוטו סינטטיים: מיקוריזה וגם חזזית?,פחמימה,אנטיביוטיקה,חנקן מקובע, מים ומנירלים,הגנה מפני קרינת UV,,4,,FALSE,,
שחזורים 2017 - מועד א',.מה נכון?,sister texa הם G+I,"I,H,G,F מהווים קבוצה פאראפילטית",C וE בעלות אב קדמון משותף ראשון בנק' 2,"קבוצות E,D,C הן מונופילטיות",אפשר להגיד בוודאות שפיצול 2 התרחש לפני פיצול 4,,2-,,FALSE,,יש תמונה #19
שחזורים 2017 - מועד א',בנית עצים פילוגנטים בשיטה הקלדיסטית מסתמכים על תכונות:,פלייסומורפיות,תכונות קדומות של אב קדמון,תכונות חדשות ייחודיות לטקסון,תכונות חדשות שמשותפות לטקסונים,משתמשים בכל התכונות לבניית עץ פילוגנטים בשיטה הקלדיסטית,,3,,FALSE,,
שחזורים 2017 - מועד א',אילו מהמחסומים הבאים מהווה מחסום פרה-זיגוטי?,,,,,,,,,FALSE,,
שחזורים 2017 - מועד א',מה אינו נכון לגבי הגדרת מין ביולוגי?,ההגדרה נכונה לגבי בעלי חיים אבל לא לגבי צמחים,מתייחסת ליכולת של אוכלוסייה להזדווג עם הפרטים בה ולא עם אוכלוסיות אחרות,אי אפשר להשתמש בהגדרה על יצורים שמתרבים רבייה א מינית,לא ניתן להגדיר מאובנים באמצעות מין ביולוגי,,,1,,FALSE,,
שחזורים 2017 - מועד א',מי מהבאים מתאר הכי נכון את תהליך ההתמיינות (speciation?,בידוד גיאוגרפי (isolation reproductive.(,פוליפלואידיות היא אחד המנגנונים שיכולים להוביל להתמיינות סיפטרית,"הזבוב pomanella. R שהחל להתפתח גם על תפוחים, מהווה דוגמה להתמיינות אלופטרית","""איזור היבריד"" מתאר אזור בו שני מינים נפגשים, שבינהם בידוד רבייתי.",התמיינות היא תהליך שתמיד קורה לאט ותוך שינויים גנטיים רבים.,,2,,FALSE,,
שחזורים 2017 - מועד א',מה מהבאים היא לא תכונה סינאמורפית אצל מיתרנים?,זימים ליד הלוע,חוט עצבים בגב,לב,זנב מאחורי פי הטבעת,אף תשובה לא נכונה,,3,,FALSE,,
שחזורים 2017 - מועד א',מהו המשפט הנכון?,דגים הם קבוצה מונופילטית,דגים ודו חיים הם קבוצה מונופילטית,ציפורים הם טטרפודים וגם המניאוטים (הוסיפו במבחן- בעלי שפיר),זוחלים הם טטרפודים אך לא המניאוטים (הוסיפו במבחן- בעלי שפיר),,,?,,FALSE,,
שחזורים 2017 - מועד א',"חוקרים גילו זן ביערות הגשם בדרום אמריקה בעל 4 רגליים, עור חלק ולח, זנב, צבעים עזים ונראה מטיל ביצים במים. לאילו מהזנים יכול להשתייך?",אמניוטים,טטרפודס,זוחלים,דו חיים,ב+ד,,5,,TRUE,,
שחזורים 2017 - מועד א',מה מבדיל את הספוגים מכל בעלי החיים האחרים?,בעלי שתי שכבות תאים,חסרי רקמות אמיתיות,בעלי סימטריה רדיאלית,ישיבים,בעלי דופן תא,,2,,FALSE,,
שחזורים 2017 - מועד א',מה נכון לגבי התפתחות הצלום במערכת שניונית של בעלי חיים?,מחסרי צלום התפתחו בעלי הפסאודו-צלום ובעלי הצלום,אופן הופעת הצלום במהלך ההתפתחות העוברית שונה בין deuterostome ל protostome,,,,,2,,FALSE,,
שחזורים 2017 - מועד א',בעל החיים שבתמונה הוא? (תמונה של התולעת בלבד,בעל סימטריה מעגלית (רדיאלית),תועלת שטוחה,מיתרן,פסאודו-צלום,בעל מערכת עצבים מרכזית,,-5,,FALSE,,יש תמונה #31
שחזורים 2017 - מועד א',"איזה בע""ח הינו בעל- אצלומט, מערכת עצבים מורכבת, מעטפת גוף קשיחה ומבצע חילוף גזים דרך העור? (צוינו גם שמות הקבוצות אליהן שייכים באנגלית)",תולעים נימיות,חלזון,כוכב ים,סרטן,אלמוג,,1,,FALSE,,
שחזורים 2017 - מועד א',"מדוע נחשבת מולקולת הרנ""א כזו שהתחילה את האבולוציה?","לרנ""א יש מטען גנטי","לא סביר שדנ""א היה הראשון מכיוון שקיום של דנ""א מחייב קיום חלבונים (כמו פולימראז), וקיום חלבונים מחייב קיום של דנ""א","רנ""א מולקולה קטליטית",. א+ב+ג נכונות,אף תשובה לא נכונה,,4,,TRUE,,
שחזורים 2017 - מועד א',"מה קרה בעקבות ""מהפכת החמצן"" שבה חיידקים מסוימים רכשו את היכולת לבצע פוטוסינתיזה?",חלה עליה ברמת החמצן באוקיינוסים ובהמשך ביבשה מה שהוביל להכחדה המונית של חיידקים,"חלה ירידה ברמת חמצן בעקבות יכולת של חיידקים מבצעי הפוטוסינתיזה לקבע חמצן
ולהפוך אותו לפחמן דו חמצני",. חלה עליה ברמת חמצן שהובילה לשגשוג של כל מיני חיידקים שחייו באוקיינוס,חלה עליה ברמת חמצון באוקיינוס ובהמשך ביבשה מה שגרם להכחדה של דינוזאורים,חלה עליה ברמת חמצון באוקיינוסים מה שאפשר את היוצרות חומצות אמינו ואת התפתחות החיים,,1,,FALSE,,
שחזורים 2017 - מועד א',מי מהבאים אינו מאפיין של הכחדה המונית (extinction mass :,"הכחדה המונית מאופיינת ע""י קצב הכחדה גבוהה",לעיתים רבות בעקבות הכחדה המונית יש היווצרות של מינים רבים חדשים,קיים חשש שבני האדם גורמים להכחדה המונית נוספת,נדידת היבשות גרמה להכחדה המונית של דינוזאורים,אופיינו 5 הכחדות המוניות במשך הזמן,,4,,FALSE,,
שחזורים 2017 - מועד א',מה ההבדל בין נגיף לתא חי?,גם לנגיף וגם לתא אין מעטפת חלבון,"לתא, שלא כמו לנגיף יש יכולת שכפול עצמאית",הנגיף והתא יכולים ליצור חלבונים לעצמם,,,,2,,FALSE,,
שחזורים 2017 - מועד א',בעקבות מתן תרופה אחת של HIV :,מוטנט של הוירוס שעמיד לתרופה יעבור ברירה טבעית ויהפוך לנפוץ באוכלוסיית הוירוסים,מוטנט של הוירוס עמיד לתרופה יעשה מעבר לגנטי למרכזי האנושי,מוטנט של הוירוס שעמיד לתרופה יזוהה על ידי מערכת החיסון ויתחיל מרוץ חימוש בינו לבין מערכת החיסון,. מוטנט של הוירוס שעמיד לתרופה היה מספר מועט כך שהוא נעלם למרות מתן התרופה,אף תשובה אינה נכונה,,1,,FALSE,,
שחזורים 2017 - מועד א',מה משותף בין וירוס הHIV לבין בקטריאופאג' ליזוגני?,שניהם נגיפים.,שניהם נכנסים לתוך הגנום/ שניהם פרואפגים ( לא זוכרת את הניסוח המדוייק),לשניהם יש את האנזים רוורס טרנסקריפטאז.,א+ ב נכונות,א+ ב+ ג נכונות,,4,,TRUE,,
שחזורים 2017 - מועד א',אילו מהאלמנטים הבאים עלולים לגרום למחלה בבני אדם?,וירוסים,חיידקים,אאוקריוטים חד תאיים,פריונים,. כל התשובות נכונות,,5,,FALSE,,
שחזורים 2017 - מועד א',מדוע תרופות הקוקטייל יעילות לטיפול בHIV?,הן מכילות ריכוז גבוה של תרופה אנטי ויראלית,הן מחזקות את תגובת מערכת החיסון כנגד הוירוס.,הן מכילות מספר תרופות אשר פועלות יחד באופן סינראטי (כלומר כל תרופה מחזקת את פעילות האחרות),"הן מכילות מספר תרופות, כך שהסיכוי שבגנום הנגיף תהיה מוטציה שמקנה לו עמידות
ל-2 תרופות או יותר נמוך מאוד עד אפסי.",הן מאטות את קצב המוטציות של הוירוס.,,4,,FALSE,,
שחזורים 2017 - מועד א',נתנו לחולה HIV תרופה אנטי ויראלית. לאחר מכן לקחו בדיקת דם וגילו מוטציה חדשה ב-1 מכל 1000 נגיפים. מה הכי סביר שקרה?,המוטציה החדשה היא פיתוח עמידות של הווירוס למערכת החיסון.,המוטציה החדשה היא פיתוח עמידות של הווירוס לתרופה.,המוטציה החדשה תפגע בנגיף,המוטציה החדשה תפגע האנזים transcriptase reverse של הנגיף.,,,3,,FALSE,,
שחזורים 2017 - מועד א',המגוון הגנטי בחיידקים:,קטן בהרבה מזה של יונקים,דומה לזה של יונקים,גדול בהרבה מזה של יונקים,אף תשובה לא נכונה,,,3,,FALSE,,
שחזורים 2017 - מועד א',אילו מההיגדים הבאים אינו נכון:,מוכרים חיידקים שתורמים לתפקודנו כבני אדם,מוכרים חיידקים שתורמים לתפקודם של הצמחים,מוכרים חיידקים שפוגעים בבריאות האדם,מוכרים נגיפים שתורמים לתפקודנו כבני אדם,מוכרים נגיפים שפוגעים בבריאות האדם,,4,,FALSE,,
שחזורים 2017 - מועד א',מה התכונה שמשפיעה הכי הרבה על אבולוציה של פרוקריוטיים?,קצב גידול מהיר,מעבר גנים אופקי,אורח חיים ליזוגני,א+ב,א+ב+ג,,4,,TRUE,,
שחזורים 2017 - מועד א',".מצאתם צמח אשר בו הספורופיט מתפתח על גבי גמטופיט, והספורופיט מהווה שלב קצר במחזור חיי הצמח. צמח זה משתייך לקבוצת",. אצות רב תאיות,טחביים (bryophytes,שרכים (ferns(,חשופי זרע,מכוסי זרע,,2,,FALSE,,
שחזורים 2017 - מועד א',"בצמחים, בעקבות מיוזה מתפתח/ים:",גמטות,ספורות,מריסטמות ראשיות בעובר,תאי גזע מריסטמטים,תאי מין,,2,,FALSE,,
שחזורים 2017 - מועד א',בגרף רואים ירידה ברמות הCO2 באטמוספירה. מה הסיבה העיקרית שגרמה לכך?,התפתחות הטחביים,התפתחות השרכיים,התפתחות הצמחים הפורחים,,,,2-,,FALSE,,יש תמונה #47
שחזורים 2017 - מועד א',השאלה דיברה על הקמביום הוסקולרי,נוצרים בין תאי השיפה כלפי חוץ והעצה כלפי פנים בהתפתחות משנית,. עצה ושיפה ראשוניים שמהם מתפתחים עצה ושיפה שניוניים,,,,,?,,FALSE,,
שחזורים 2017 - מועד א',.מהי רקמת היסוד tissue ground,רקמה הנמצאת במרכז השורש והגבעול ממנה מתפתח רקמות ההובלה,רקמה ממנה מתפתח השורש הנמצאת בקרקע (ground(,רקמה ממנה מתפתח כל רקמות הצמח,רקמה שממנה מתפתחים בין היתר הפרנכימה,הרקמה ממנה מתפתח הפרוקמביום,,?,,FALSE,,
שחזורים 2017 - מועד א',.מה מופיע בתמונה?,חתך בגבעול דו פסיגי,חתך בגבעול חד פסיגי,חתך במריסטמה קודקודית של שורש,חתך בשורש דו פסיגי,. חתך בשורש חד פסיגי,,2-,,FALSE,,יש תמונה #50
שחזורים 2017 - מועד א',מהמריסטימה הקודקודית(SAM (מתפתחים:,הנבט,"הפסיגים, העלים, הגבעול ומריסטמית התפרחת","העלים, הגבעול ומריסטמת התפרחת","העלים, הגבעול, השורש ומריסטמת התפרחת","הפסיגים, העלים, הגבעול, השורש ומריסטמת התפרחת",,3,,FALSE,,
שחזורים 2017 - מועד א',מה הייתה ההיפותזה של גטה כאשר הוא הסתכל על איברי פרח?,עלים מותמרים,,,,,,1,,FALSE,,
שחזורים 2017 - מועד א',במה תלויה תנועת הסוכרוז בצמח?,כניסה ויציאה של סוכרוז דרך נשאים בקרום התא של תאי השיפה,,,,,,1,,FALSE,,
שחזורים 2017 - מועד א',שאלה על מים מזוקקים- כאשר מדגירים תא עם 4.0= -ψs במים מזוקקים מה נקבל?,ψp= 0.4 -ו ψs= -0.4,,,,,,1,,FALSE,,
שחזורים 2017 - מועד א',בצמחים שיודעים לעשות אפומיקסיס מה יתקבל?,זרע ובתוכו עובר זהה גנטית לצמח האם,,,,,,1,,FALSE,,
שחזורים 2017 - מועד א',.לפי מודל ה-abc איזה מהדור/דורים ייפגע בצמח הנושא מוטנט ל-A?,. דור ראשון,דור שני,דורים שני ושלישי,דורים ראשון ושני,דור שלישי,דורים ראשון ורביעי,4,,FALSE,,
שחזורים 2017 - מועד א',לא בטוח: יש מוטנט stm שגורם לאי התפתחות של מריסטמה. כאשר מוסיפים ציטוקינין ברקע המוטנט ניתן לראות שהצמח הוא בעל מריסטמה. מה ההסבר הכי הגיוני?,הציטוקינין מדכא את השפעת ה-stm,הציטוקינין משרה את השפעת ה-stm,ה-stm מעודד את השפעת הציטוקינין,,,,3,,FALSE,,
שחזורים 2017 - מועד א',האנדוספרם מתפתח מ____ ומטענו הגנטי הוא ____,"גרעין מרכזי ותא זרע , 3n","תא ספרם ותא זרע, 3n",,,,,1,,FALSE,,
שחזורים 2017 - מועד א',על מה אחראי ההורמון ג'יברלין?,התפתחות השורש,התפתחות עלים,היווה חלק משמעותי במהפכה הירוקה,גורם לחלוקת תאים ועפצים,,,3,,FALSE,,
שחזורים 2017 - מועד א',מה נכון?,. אור אדום גורם לחלבון הפיטוכרום להיכנס גרעין ולהשפיע על ביטוי גנים,אור אדום רחוק גורם לחלבון הפיטוכרום להיכנס גרעין ולהשפיע על ביטוי גנים,אור אדום גורם לחלבון הפיטוכרום להשפיע על ביטוי גנים,אותו דבר עם אור אדום רחוק ולא נכנס לגרעין,אור אדום רחוק הופך אותו לבעל יכולת לקלוט אור אדום רחוק,,1,,FALSE,,
שחזורים 2017 - מועד א',"הרצפטור לאור אדום, פיטוכרום אינו מעורב ב:",גדילה גרוויטרופית (response gravitrophic,נביטת זרעים,תגובה להצללה (avoidance shade,מעבר לפריחה,פוטופיריודה (photoperiodism(,,1,,FALSE,,
שחזורים 2017 - מועד א',"כאשר מכינים צמח טרנסגני בעזרת DNA-T ,מכניסים לצמח:",הורמונים,נופלינים,נופלינים + הורמונים,גן מטרה,חיידק האגרובקטריום,,4,,FALSE,,
שחזורים 2017 - מועד א',כיצד הועשרו ערכי התזונה באורז מוזהב (rice golden?,בודדו זני בר חדשים עם ערכי תזונה משופרים,אורז עבר טרנספורמציה עם גנים המקודדים לוויטמין A,אורז עבר טרנספורמציה עם גנים המקודדים לבטא קרוטין (carotene β(,הוסיפו לו בטא קרוטין (carotene β(,הוסיפו לו ויטמין A,הכליאו ביו אורז מתורבת לאורז בר,3,,FALSE,,
בחני מודל,"בצפון אירופה, אחד מכל 2500 תינוקות נולד עם מחלת הסיסטיק פייברוזיס. זו היא מחלה גנטית רצסיבית. בהנחה שהרבייה באוכלוסיית האדם בצפון אירופה היא אקראית ושאין זרימה גנטית, מה הוא שיעור נשאי המחלה בחברה (כלומר, שיעור האנשים שמחזיקים בגן למחלה אך אינם חולים בה בעצמם)?",אחד מכל 2500 אנשים (0.04%),אחד מכל 50 אנשים (2%),אחד מכל 25 אנשים (4%),1-(1/2500) <0.99,,,3,אבולוציה,FALSE,,בוחן 1
בחני מודל,מהו מחזור השכפול הוויראלי? בחר את הסדר הנכון מימין לשמאל,"כניסה לתא, שכפול החומר הגנטי ויצירת חלבוני כפסיד, חשיפת חומר גנטי, הרכבה מחדש של הוירוס, יציאה מהתא.","כניסה לתא, שכפול החומר הגנטי ויצירת חלבוני כפסיד, הרכבה מחדש של הוירוס, חשיפת חומר גנטי, יציאה מהתא.","כניסה לתא, חשיפת חומר גנטי, שכפול החומר הגנטי ויצירת חלבוני כפסיד, הרכבה מחדש של הוירוס, יציאה מהתא.","כניסה לתא, שכפול החומר הגנטי ויצירת חלבוני כפסיד, חשיפת חומר גנטי, יציאה מהתא, הרכבה מחדש של הוירוס.",,,3,וירוסים,FALSE,,בוחן 1
